origin,original_dest,recommended_dest,time_slot,incentive_amount,period_start_min,expected_flow,surplus_at_dest,deficit_at_redir,detour_m
9,9,1,3,1.5,45.0,0.085,17.9,0.95,800.0
0,3,2,4,1.2,60.0,0.169,7.99,1.81,400.0
1,3,2,4,1.2,60.0,0.169,7.99,1.81,400.0
2,3,2,4,1.2,60.0,0.169,7.99,1.81,400.0
3,3,2,4,1.2,60.0,0.135,7.99,1.81,400.0
4,3,2,4,1.2,60.0,0.135,7.99,1.81,400.0
5,3,2,4,1.2,60.0,0.135,7.99,1.81,400.0
6,3,2,4,1.2,60.0,0.135,7.99,1.81,400.0
7,3,2,4,1.2,60.0,0.085,7.99,1.81,400.0
8,3,2,4,1.2,60.0,0.085,7.99,1.81,400.0
9,3,2,4,1.2,60.0,0.085,7.99,1.81,400.0
0,4,0,4,1.2,60.0,0.169,7.99,1.81,400.0
1,4,0,4,1.2,60.0,0.169,7.99,1.81,400.0
2,4,0,4,1.2,60.0,0.169,7.99,1.81,400.0
3,4,0,4,1.2,60.0,0.135,7.99,1.81,400.0
4,4,0,4,1.2,60.0,0.135,7.99,1.81,400.0
5,4,0,4,1.2,60.0,0.135,7.99,1.81,400.0
6,4,0,4,1.2,60.0,0.135,7.99,1.81,400.0
7,4,0,4,1.2,60.0,0.085,7.99,1.81,400.0
8,4,0,4,1.2,60.0,0.085,7.99,1.81,400.0
9,4,0,4,1.2,60.0,0.085,7.99,1.81,400.0
0,5,1,4,1.2,60.0,0.169,7.99,1.81,400.0
1,5,1,4,1.2,60.0,0.169,7.99,1.81,400.0
2,5,1,4,1.2,60.0,0.169,7.99,1.81,400.0
3,5,1,4,1.2,60.0,0.135,7.99,1.81,400.0
4,5,1,4,1.2,60.0,0.135,7.99,1.81,400.0
5,5,1,4,1.2,60.0,0.135,7.99,1.81,400.0
6,5,1,4,1.2,60.0,0.135,7.99,1.81,400.0
7,5,1,4,1.2,60.0,0.085,7.99,1.81,400.0
8,5,1,4,1.2,60.0,0.085,7.99,1.81,400.0
9,5,1,4,1.2,60.0,0.085,7.99,1.81,400.0
0,6,2,4,1.2,60.0,0.169,7.99,1.81,400.0
1,6,2,4,1.2,60.0,0.169,7.99,1.81,400.0
2,6,2,4,1.2,60.0,0.169,7.99,1.81,400.0
3,6,2,4,1.2,60.0,0.135,7.99,1.81,400.0
4,6,2,4,1.2,60.0,0.135,7.99,1.81,400.0
5,6,2,4,1.2,60.0,0.135,7.99,1.81,400.0
6,6,2,4,1.2,60.0,0.135,7.99,1.81,400.0
7,6,2,4,1.2,60.0,0.085,7.99,1.81,400.0
8,6,2,4,1.2,60.0,0.085,7.99,1.81,400.0
9,6,2,4,1.2,60.0,0.085,7.99,1.81,400.0
0,7,2,4,1.5,60.0,0.506,20.36,1.81,565.7
1,7,2,4,1.5,60.0,0.506,20.36,1.81,565.7
2,7,2,4,1.5,60.0,0.506,20.36,1.81,565.7
3,7,2,4,1.5,60.0,0.135,20.36,1.81,565.7
4,7,2,4,1.5,60.0,0.135,20.36,1.81,565.7
5,7,2,4,1.5,60.0,0.135,20.36,1.81,565.7
6,7,2,4,1.5,60.0,0.135,20.36,1.81,565.7
7,7,2,4,1.5,60.0,0.085,20.36,1.81,565.7
8,7,2,4,1.5,60.0,0.085,20.36,1.81,565.7
9,7,2,4,1.5,60.0,0.085,20.36,1.81,565.7
0,8,0,4,1.5,60.0,0.506,20.36,1.81,800.0
1,8,0,4,1.5,60.0,0.506,20.36,1.81,800.0
2,8,0,4,1.5,60.0,0.506,20.36,1.81,800.0
3,8,0,4,1.5,60.0,0.135,20.36,1.81,800.0
4,8,0,4,1.5,60.0,0.135,20.36,1.81,800.0
5,8,0,4,1.5,60.0,0.135,20.36,1.81,800.0
6,8,0,4,1.5,60.0,0.135,20.36,1.81,800.0
7,8,0,4,1.5,60.0,0.085,20.36,1.81,800.0
8,8,0,4,1.5,60.0,0.085,20.36,1.81,800.0
9,8,0,4,1.5,60.0,0.085,20.36,1.81,800.0
0,9,1,4,1.5,60.0,0.506,20.36,1.81,800.0
1,9,1,4,1.5,60.0,0.506,20.36,1.81,800.0
2,9,1,4,1.5,60.0,0.506,20.36,1.81,800.0
3,9,1,4,1.5,60.0,0.135,20.36,1.81,800.0
4,9,1,4,1.5,60.0,0.135,20.36,1.81,800.0
5,9,1,4,1.5,60.0,0.135,20.36,1.81,800.0
6,9,1,4,1.5,60.0,0.135,20.36,1.81,800.0
7,9,1,4,1.5,60.0,0.085,20.36,1.81,800.0
8,9,1,4,1.5,60.0,0.085,20.36,1.81,800.0
